sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
60,Madhya Pradesh,WR,Chhatarpur PS,,Between Jul-26 to Jun'25,0.0,,0.0,Scheme dropped.,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,"Scheme has been dropped as decided in NCT meeting & to be denotified by 
MoP.",
61,Maharashtra,WR,Kallam PS,Ph-II,Between Jul-26 to Jun'25,1000.0,,1000.0,Dec-24 (1GW),835.0,1022.0,1856.0,0.0,200.0,200.0,150.0,78.0,228.0,,,,"1GW ICTs: Dec-24 & System for 2.25GW: Under Implementation-Oct-25 
(exptd)
148.75MW Connectivity granted to Anupavan has been revoked under 11A. 
Further, 200MW connectivity of Serentica & 117MW of Renew(MHP) has 
been revoked under 24.6, however, matter is presently subjudice.",
62,Gujarat,WR,Khavda complex,,Between Jul-25 to Dec-25,9000.0,,9000.0,,0.0,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"•Ph-1: 3GW -  Completed in Feb-24. However, 2GW at KPS2 using Ph-I 
system would also require KPS2 S/s (Jan'25)
•Ph-2: 5GW- Mar'25 (SCOD) 
•Ph-3: 7GW- Dec'25 (SCOD)
•Ph-4: 7GW-Nov'26 (SCOD)
•Ph-V:  LCC Bipole-I:Nov'28) & LCC Bipole-II: May'29 (SCOD) / VSC 48 
months from SPV transfer",
62a,Gujarat,WR,Khavda I PS,Sec-I,Between Jul-25 to Dec-25,1500.0,,1500.0,Sec-I ICT: Jul'25,,1500.0,1500.0,,,0.0,0.0,0.0,0.0,,,,"Total transformation capacity at Khavda complex  (considering N-1 on each 
section):
KPS1 - Sec-I: 4.5GW ; Sec-2: 6GW
Total KPS1: 10.5GW
KPS2 - Sec-I: 6GW ; Sec-2: 4.5GW
Total KPS2: 10.5GW
KPS3 - Sec-I: 4.5GW ; Sec-2: 4.5GW",
62b,Gujarat,WR,Khavda II PS,Sec-I & II,Between Jul-25 to Dec-25,6000.0,,6000.0,Sec-I & II ICTs : Feb'26,,6000.0,6000.0,,0.0,0.0,0.0,0.0,0.0,,,,,
62c,Gujarat,WR,Khvada III PS,Sec-I,Between Jul-25 to Dec-25,1500.0,,1500.0,Sec-I ICT : Jul'25,,1500.0,1500.0,,0.0,0.0,0.0,0.0,0.0,,,,"Total KPS3: 9GW
Total (KPS1, KPS2 & KPS3): 30GW",
63,Gujarat,WR,Bhuj PS,,Between Jul-25 to Dec-25,500.0,,500.0,Jul'25,464.0,,464.0,0.0,,0.0,0.0,0.0,0.0,,,,"9th ICT at Bhuj PS shall be required for applications beyond 3500MW
NO FURTHER MARGINS ARE NOW AVAILABLE. Applications reeived 
beyond margins.",
64,Gujarat,WR,Lakadia PS,,Between Jul-25 to Dec-25,1000.0,,1000.0,Oct'25,950.0,0.0,950.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oct-25: Under Implementation,
65,Maharashtra,WR,Parli (New) S/s,,Between Jul-25 to Dec-25,1000.0,,1000.0,Dec'25 (Bay),,800.0,800.0,,0.0,0.0,,200.0,200.0,,,,400kV bay under construction (suitable for 1000MW evacuation): Dec'25,
66,Gujarat,WR,Khavda complex,,Beyond Dec-25,7500.0,,7500.0,,0.0,19390.0,19390.0,0.0,1600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,"•Ph-1: 3GW -  Completed in Feb-24. However, 2GW at KPS2 using Ph-I 
system would also require KPS2 S/s (Jan'25)
•Ph-2: 5GW- Mar'25 (SCOD) 
•Ph-3: 7GW- Dec'25 (SCOD)
•Ph-4: 7GW-Nov'26 (SCOD)
•Ph-V:  LCC Bipole-I:Nov'28) & LCC Bipole-II: May'29 (SCOD) / VSC 48 
months from SPV transfer",
